social10,self_esteem,locus,ses,gpa,parent_ed
44.42,-0.1,-0.39,0.233,2.1,2
34.79,-0.23,0.24,-1.067,2.3,2
32.98,-0.76,-0.42,-0.415,1.8,3
62.36,-0.33,-0.79,-0.956,3.5,1
57.88,-1.11,0.58,-0.733,2.8,2
45.58,-0.45,-0.14,-0.627,3.3,1
38.23,-0.9,0.08,-0.185,3.3,4
61.17,-0.29,0.07,-0.722,4,2
56.55,0.16,0.07,1.68,2.8,6
39.39,0.13,-0.14,0.905,3,5
61.11,-0.1,0.07,-0.236,3.5,5
45.9,0.96,0.49,-1.131,4,2
60.35,0.74,0.51,0.235,3.5,2
49.64,0.71,0.32,-0.142,2.5,2
53.43,1.33,1.43,1.304,3,6
61.35,-0.84,-1.3,0.812,3.5,5
41.25,0.21,0.08,-0.183,2.8,7
34.3,-0.52,-0.83,-1.343,2.3,1
64.17,1.33,0.97,0.788,4,6
47.54,-0.91,-1.31,-0.008,2.8,2
65.32,0.79,-1.71,0.438,3.3,2
44.94,0.17,-0.63,-0.661,2.5,2
62.71,-0.39,0.28,0.03,4,4
40.75,0.77,0.36,-1.541,2.8,1
54.38,1.33,-0.59,-0.106,3.3,5
45.73,-0.45,-0.61,-0.287,3.3,5
46.87,-0.07,0.54,-0.506,2.5,2
51.27,-0.29,-0.63,-0.388,3,2
51.88,1.33,0.78,0.438,2,5
62.88,0.09,1.18,-0.678,2.8,2
61.05,-1.85,-0.9,-0.499,3,5
59.52,-0.71,0.07,0.211,4,3
51.61,-0.23,-0.18,-0.5,2.8,7
34.54,0.67,-0.13,-0.461,2.8,2
50.23,-0.23,0.07,0.122,3.8,4
48.7,0.15,0.29,1.099,3.3,7
55.09,-0.47,0.01,0.161,2.5,5
60.03,-0.29,-0.31,0.408,4,5
52.28,0.62,1.2,-0.683,2.3,5
50.33,1.14,0.28,-0.451,4,2
46.2,-0.45,0.07,-0.197,3.8,2
42.68,0.5,0.31,-0.707,2.5,2
32.29,0.96,1.43,-0.392,2.5,1
49.48,-0.2,0.76,-0.315,3.3,2
65.81,0.65,0.29,0.881,3.5,5
50.15,0.27,0.07,0.98,4,5
32.18,0.22,0.97,-1.034,2.5,2
51.02,0.13,-0.14,-0.547,3.8,2
50.88,1.33,0.97,-1.22,2.5,1
40.09,-0.31,-0.14,-1.106,3.3,1
47.22,1.33,1.43,0.621,2.5,3
32.51,0.4,1.23,-1.171,2.5,2
43.15,-0.23,-0.35,-0.535,3.8,2
46.28,0.52,0.53,-1.417,3.3,2
47.81,0.18,-0.11,-0.142,3.5,3
53.98,0.86,1.22,-0.707,3.8,5
42.13,0.9,0.3,-0.534,2,1
35.75,0.53,0.09,0.225,3.3,5
55.72,-0.05,-0.38,-0.119,2.8,3
51.75,0.09,0.26,1.152,1.6,6
49.03,1.14,0.53,0.651,3.5,4
41.71,1.14,0.74,-1.513,2,1
34.75,-0.73,-0.81,-1.475,1.6,1
46.73,0.31,-0.35,-1.533,3.3,1
55.07,0.5,0.29,-0.271,2.5,4
49.8,0.75,0.97,0.562,4,4
44.38,0.08,-0.13,-0.485,2.3,5
49.16,-0.57,0.05,0.011,3,5
42.16,1.33,0.34,-1.206,2.8,2
58.57,-0.45,-0.64,0.471,3.8,6
43.22,1.1,1.43,-0.003,4,2
40.82,-0.68,-0.12,-2.414,2.5,1
43.9,0.42,-0.47,-0.295,3,2
40.58,0.39,-0.16,-0.119,3.3,3
58.15,-0.64,-1.04,0.095,3.8,2
53.89,-0.28,0.07,0.72,2.8,5
67.06,-1.12,-0.63,-0.734,4,2
49.59,-0.1,0.07,0.419,3.3,2
52.27,0.53,0.31,-0.144,3,2
45.07,-0.91,-0.14,-0.124,3,3
38.94,0.16,0.72,0.11,3.8,3
50.05,0.43,0.07,0.956,4,6
64.57,-0.1,-0.11,0.299,4,2
33.32,-0.1,-0.37,0.233,1.6,2
53.28,0.17,-0.61,-0.835,2.1,4
